station_id,ym,rain_mm,temp_c,wind_ms
C0O810,2018-01,60.5,17.8,0.5
C0O810,2018-02,24,17.4,0.5
C0O810,2018-03,40.5,21.3,0.8
C0O810,2018-04,7.5,24.4,0.7
C0O810,2018-05,28.5,28,0.7
C0O810,2018-06,694.5,27.3,0.8
C0O810,2018-07,639.5,26.8,0.8
C0O810,2018-08,1479.5,26.1,0.8
C0O810,2018-09,191.5,26.8,0.7
C0O810,2018-10,32.5,24.3,0.6
C0O810,2018-11,2.5,23.2,0.5
C0O810,2018-12,0.5,21.1,0.6
C0O810,2019-01,2.5,19.8,0.6
C0O810,2019-02,1,21.9,0.6
C0O810,2019-03,55,22,0.6
C0O810,2019-04,83,25.3,0.7
C0O810,2019-05,366,25.3,0.6
C0O810,2019-06,284.5,27.2,0.9
C0O810,2019-07,454,27.2,0.9
C0O810,2019-08,965,26.8,0.8
C0O810,2019-09,242.5,26.5,0.7
C0O810,2019-10,48,25.4,0.6
C0O810,2019-11,0,22.8,0.6
C0O810,2019-12,73.5,19.4,0.6
C0O810,2020-01,14,18.5,0.6
C0O810,2020-02,21,19.5,0.7
C0O810,2020-03,30,22.8,0.7
C0O810,2020-04,31.5,23,0.7
C0O810,2020-05,399,27,0.8
C0O810,2020-06,129.5,28,0.8
C0O810,2020-07,190.5,28.1,0.9
C0O810,2020-08,587.5,26.8,0.8
C0O810,2020-09,95,27.4,0.7
C0O810,2020-10,3.5,26,0.4
C0O810,2020-11,10.5,23.8,0.5
C0O810,2020-12,19,20.2,0.5
C0O810,2021-01,7.5,16.5,0.6
C0O810,2021-02,15,19.7,0.8
C0O810,2021-03,5.5,22.8,0.6
C0O810,2021-04,59.5,24.5,0.6
C0O810,2021-05,130,28.6,0.8
C0O810,2021-06,971,26,0.9
C0O810,2021-07,559.5,26.9,0.9
C0O810,2021-08,1187,26,0.8
C0O810,2021-09,197.5,26.9,0.8
C0O810,2021-10,38,25.4,0.5
C0O810,2021-11,31.5,22.9,0.5
C0O810,2021-12,19.5,19.3,0.5
C0O810,2022-01,38,18.8,0.5
C0O810,2022-02,99,18.1,0.5
C0O810,2022-03,41.5,22.9,0.7
C0O810,2022-04,15.5,24.4,0.7
C0O810,2022-05,257,25.1,0.6
C0O810,2022-06,226,27.5,1
C0O810,2022-07,276.5,28.4,0.7
C0O810,2022-08,400,27.6,0.8
C0O810,2022-09,135,27,0.8
C0O810,2022-10,9,25.5,0.5
C0O810,2022-11,6.5,24.7,0.5
C0O810,2022-12,20,18.3,0.5
C0O810,2023-01,2.5,18.3,0.5
C0O810,2023-02,1,19.7,0.7
C0O810,2023-03,0.5,21.7,0.9
C0O810,2023-04,20,25.2,0.7
C0O810,2023-05,134.5,26.7,0.7
C0O810,2023-06,219.5,27.5,0.9
C0O810,2023-07,327,27.8,1
C0O810,2023-08,488.5,27.1,0.9
C0O810,2023-09,557,26.8,0.7
C0O810,2023-10,29.5,25.7,0.6
C0O810,2023-11,0,22.9,0.7
C0O810,2023-12,12.5,20.7,0.6
