station_id,ym,rain_mm,temp_c,wind_ms
C1G691,2018-01,103,NA,NA
C1G691,2018-02,32,NA,NA
C1G691,2018-03,40.5,NA,NA
C1G691,2018-04,19,NA,NA
C1G691,2018-05,51.5,NA,NA
C1G691,2018-06,261.5,NA,NA
C1G691,2018-07,371.5,NA,NA
C1G691,2018-08,461.5,NA,NA
C1G691,2018-09,24.5,NA,NA
C1G691,2018-10,0.5,NA,NA
C1G691,2018-11,17.5,NA,NA
C1G691,2018-12,0,NA,NA
C1G691,2019-01,6.5,NA,NA
C1G691,2019-02,10,NA,NA
C1G691,2019-03,133.5,NA,NA
C1G691,2019-04,57,NA,NA
C1G691,2019-05,233.5,NA,NA
C1G691,2019-06,429,NA,NA
C1G691,2019-07,200,NA,NA
C1G691,2019-08,607,NA,NA
C1G691,2019-09,90,NA,NA
C1G691,2019-10,13.5,NA,NA
C1G691,2019-11,0,NA,NA
C1G691,2019-12,131,NA,NA
C1G691,2020-01,16.5,NA,NA
C1G691,2020-02,2,NA,NA
C1G691,2020-03,32,NA,NA
C1G691,2020-04,36,NA,NA
C1G691,2020-05,397.5,NA,NA
C1G691,2020-06,52.5,NA,NA
C1G691,2020-07,78,NA,NA
C1G691,2020-08,393.5,NA,NA
C1G691,2020-09,30,NA,NA
C1G691,2020-10,0.5,NA,NA
C1G691,2020-11,3,NA,NA
C1G691,2020-12,25,NA,NA
C1G691,2021-01,5,NA,NA
C1G691,2021-02,25.5,NA,NA
C1G691,2021-03,10.5,NA,NA
C1G691,2021-04,27,NA,NA
C1G691,2021-05,149.5,NA,NA
C1G691,2021-06,824.5,NA,NA
C1G691,2021-07,265,NA,NA
C1G691,2021-08,495.5,NA,NA
C1G691,2021-09,51,NA,NA
C1G691,2021-10,9,NA,NA
C1G691,2021-11,13,NA,NA
C1G691,2021-12,24.5,NA,NA
C1G691,2022-01,30,NA,NA
C1G691,2022-02,104.5,NA,NA
C1G691,2022-03,105.5,NA,NA
C1G691,2022-04,45.5,NA,NA
C1G691,2022-05,295,NA,NA
C1G691,2022-06,215.5,NA,NA
C1G691,2022-07,30.5,NA,NA
C1G691,2022-08,376,NA,NA
C1G691,2022-09,68,NA,NA
C1G691,2022-10,5.5,NA,NA
C1G691,2022-11,1,NA,NA
C1G691,2022-12,12.5,NA,NA
C1G691,2023-01,5.5,NA,NA
C1G691,2023-02,9.5,NA,NA
C1G691,2023-03,21.5,NA,NA
C1G691,2023-04,118.5,NA,NA
C1G691,2023-05,251.5,NA,NA
C1G691,2023-06,78,NA,NA
C1G691,2023-07,155,NA,NA
C1G691,2023-08,427.5,NA,NA
C1G691,2023-09,397,NA,NA
C1G691,2023-10,52.5,NA,NA
C1G691,2023-11,0,NA,NA
C1G691,2023-12,13.5,NA,NA
C1G691,2024-01,6,NA,NA
C1G691,2024-02,27.5,NA,NA
C1G691,2024-03,15.5,NA,NA
C1G691,2024-04,112.5,NA,NA
C1G691,2024-05,106.5,NA,NA
C1G691,2024-06,160.5,NA,NA
C1G691,2024-07,725,NA,NA
C1G691,2024-08,151.5,NA,NA
C1G691,2024-09,238.5,NA,NA
C1G691,2024-10,72,NA,NA
C1G691,2024-11,53,NA,NA
C1G691,2024-12,31,NA,NA
C1G691,2025-01,24.5,NA,NA
C1G691,2025-02,63,NA,NA
C1G691,2025-03,60,NA,NA
C1G691,2025-04,53,NA,NA
C1G691,2025-05,110.5,NA,NA
C1G691,2025-06,185.5,NA,NA
C1G691,2025-07,961,NA,NA
C1G691,2025-08,423.5,NA,NA
C1G691,2025-09,191.5,NA,NA
C1G691,2025-10,3,NA,NA
C1G691,2025-11,3,NA,NA
C1G691,2025-12,9,NA,NA
