station_id,ym,rain_mm,temp_c,wind_ms
C1Z240,2018-01,150,NA,NA
C1Z240,2018-02,127,NA,NA
C1Z240,2018-03,76.5,NA,NA
C1Z240,2018-04,105,NA,NA
C1Z240,2018-05,98.5,NA,NA
C1Z240,2018-06,350.5,NA,NA
C1Z240,2018-07,192,NA,NA
C1Z240,2018-08,399,NA,NA
C1Z240,2018-09,440,NA,NA
C1Z240,2018-10,226.5,NA,NA
C1Z240,2018-11,185.5,NA,NA
C1Z240,2018-12,141.5,NA,NA
C1Z240,2019-01,128.5,NA,NA
C1Z240,2019-02,84,NA,NA
C1Z240,2019-03,162,NA,NA
C1Z240,2019-04,79,NA,NA
C1Z240,2019-05,270.5,NA,NA
C1Z240,2019-06,195.5,NA,NA
C1Z240,2019-07,88.5,NA,NA
C1Z240,2019-08,509.5,NA,NA
C1Z240,2019-09,27.5,NA,NA
C1Z240,2019-10,113.5,NA,NA
C1Z240,2019-11,131.5,NA,NA
C1Z240,2019-12,265,NA,NA
C1Z240,2020-01,106.5,NA,NA
C1Z240,2020-02,80.5,NA,NA
C1Z240,2020-03,127.5,NA,NA
C1Z240,2020-04,112.5,NA,NA
C1Z240,2020-05,234,NA,NA
C1Z240,2020-06,58.5,NA,NA
C1Z240,2020-07,179,NA,NA
C1Z240,2020-08,118,NA,NA
C1Z240,2020-09,260.5,NA,NA
C1Z240,2020-10,326.5,NA,NA
C1Z240,2020-11,234,NA,NA
C1Z240,2020-12,265,NA,NA
C1Z240,2021-01,198.5,NA,NA
C1Z240,2021-02,163,NA,NA
C1Z240,2021-03,109,NA,NA
C1Z240,2021-04,200.5,NA,NA
C1Z240,2021-05,108,NA,NA
C1Z240,2021-06,304.5,NA,NA
C1Z240,2021-07,142,NA,NA
C1Z240,2021-08,213,NA,NA
C1Z240,2021-09,418.5,NA,NA
C1Z240,2021-10,784.5,NA,NA
C1Z240,2021-11,225,NA,NA
C1Z240,2021-12,135,NA,NA
C1Z240,2022-01,273.5,NA,NA
C1Z240,2022-02,194.5,NA,NA
C1Z240,2022-03,117,NA,NA
C1Z240,2022-04,155.5,NA,NA
C1Z240,2022-05,350,NA,NA
C1Z240,2022-06,152.5,NA,NA
C1Z240,2022-07,59.5,NA,NA
C1Z240,2022-08,78,NA,NA
C1Z240,2022-09,234,NA,NA
C1Z240,2022-10,805.5,NA,NA
C1Z240,2022-11,216.5,NA,NA
C1Z240,2022-12,129,NA,NA
C1Z240,2023-01,200.5,NA,NA
C1Z240,2023-02,115.5,NA,NA
C1Z240,2023-03,120.5,NA,NA
C1Z240,2023-04,138.5,NA,NA
C1Z240,2023-05,207.5,NA,NA
C1Z240,2023-06,183,NA,NA
C1Z240,2023-07,810.5,NA,NA
C1Z240,2023-08,335,NA,NA
C1Z240,2023-09,580,NA,NA
C1Z240,2023-10,420.5,NA,NA
C1Z240,2023-11,85,NA,NA
C1Z240,2023-12,158.5,NA,NA
C1Z240,2024-01,136.5,NA,NA
C1Z240,2024-02,64.5,NA,NA
C1Z240,2024-03,57.5,NA,NA
C1Z240,2024-04,100.5,NA,NA
C1Z240,2024-05,204,NA,NA
C1Z240,2024-06,210.5,NA,NA
C1Z240,2024-07,194,NA,NA
C1Z240,2024-08,374,NA,NA
C1Z240,2024-09,338,NA,NA
C1Z240,2024-10,901,NA,NA
C1Z240,2024-11,162.5,NA,NA
C1Z240,2024-12,150.5,NA,NA
C1Z240,2025-01,160,NA,NA
C1Z240,2025-02,147,NA,NA
C1Z240,2025-03,122.5,NA,NA
C1Z240,2025-04,89,NA,NA
C1Z240,2025-05,163.5,NA,NA
C1Z240,2025-06,399,NA,NA
C1Z240,2025-07,799,NA,NA
C1Z240,2025-08,138.5,NA,NA
C1Z240,2025-09,606,NA,NA
C1Z240,2025-10,140.5,NA,NA
C1Z240,2025-11,348.5,NA,NA
C1Z240,2025-12,187.5,NA,NA
